model,sample,horizon,winsorized,factor,factor_label,n,btc_beta,btc_se,btc_p,gold_beta,gold_se,gold_p,delta_beta,delta_se,delta_t,delta_p,btc_r2,gold_r2
core,full,20,True,usd,Dollar large,2212,0.7517025110540684,1.097605256665976,0.49343423852064605,-1.2171121046660012,0.2006417952118098,1.3105797776900724e-09,1.9688146157200692,1.098295085501153,1.79260987480582,0.07303532633832553,0.1549079754477185,0.32751585048519305
core,full,20,True,real_rate,Taux réel US 10 ans,2212,-0.044578860930601524,0.05285113251499534,0.39896017696540487,-0.07365141828376558,0.011836858415345097,4.90200434414118e-10,0.029072557353164,0.053265684887089194,0.5458027511481554,0.5852015319550213,0.1549079754477185,0.32751585048519305
core,pre_covid,20,False,equity,Actions américaines,582,1.9042221410929445,0.8494619389501007,0.0249820384152553,-0.17348382162483425,0.08060901453599217,0.031384437509632254,2.077705962717779,0.8321777533598593,2.4967093320257447,0.012535165892940934,0.0688204601790875,0.42211403465896713
core,pre_covid,20,False,usd,Dollar large,582,3.5814547360064157,2.8785968972679785,0.2134381741020922,-1.1020131391005512,0.23354687398698423,2.3747892834308284e-06,4.683467875106966,2.9392605450875564,1.5934170527803455,0.11106666268294385,0.0688204601790875,0.42211403465896713
core,pre_covid,20,False,real_rate,Taux réel US 10 ans,582,-0.17761122313207692,0.18086980477629078,0.3261078157931261,-0.11573068915786057,0.029876238432345253,0.00010720855145622549,-0.06188053397421636,0.17780647980503803,-0.3480218158644577,0.727823799739534,0.0688204601790875,0.42211403465896713
core,post_covid,20,False,equity,Actions américaines,1630,1.702323854216467,0.2089713550132111,3.755179984177794e-16,-0.1427810721023972,0.06266074536650854,0.022688672278046624,1.8451049263188644,0.21227077141255546,8.692223211140266,3.554149279799645e-18,0.24743805407145225,0.30830380064069096
core,post_covid,20,False,usd,Dollar large,1630,-0.04124235841079055,0.972343357559319,0.9661675306872809,-1.2111009052536679,0.27477033225658953,1.0448164087426813e-05,1.1698585468428773,0.9842002960363614,1.188638686204639,0.23458187762965987,0.24743805407145225,0.30830380064069096
core,post_covid,20,False,real_rate,Taux réel US 10 ans,1630,-0.001429680872845231,0.04176526037920516,0.9726926746212443,-0.06837829305200406,0.013060468460116732,1.6452447109096045e-07,0.06694861217915883,0.04308149884564803,1.553999140536444,0.12018462163893136,0.24743805407145225,0.30830380064069096
core,pre_etf,20,False,equity,Actions américaines,1555,1.7835562104501654,0.2952830257984842,1.5396313130837891e-09,-0.1626953122114559,0.06009867011913707,0.006786631701217758,1.9462515226616217,0.3013051476798326,6.459403490609169,1.051164974409884e-10,0.1643618186586897,0.43581695007814936
core,pre_etf,20,False,usd,Dollar large,1555,1.0094576178628842,1.4207566051249656,0.4773897459957115,-1.0124120859975014,0.20787499519526184,1.1143301576013317e-06,2.0218697038603866,1.4529404089400924,1.391570976634426,0.1640523527443516,0.1643618186586897,0.43581695007814936
core,pre_etf,20,False,real_rate,Taux réel US 10 ans,1555,-0.06809728245426712,0.05740402789649513,0.23551152046393287,-0.08006630418890798,0.012741742686590979,3.3043884794497605e-10,0.011969021734640834,0.05827528813223587,0.2053876028460164,0.8372693053138845,0.1643618186586897,0.43581695007814936
core,post_etf,20,False,equity,Actions américaines,657,1.6300785914335367,0.35808387385146345,5.3081360230164155e-06,-0.08988291213755827,0.1444775501619479,0.5338605136198196,1.7199615035710951,0.3964477184279435,4.338432089838618,1.4350281181369045e-05,0.18881719563462418,0.22583986801190425
core,post_etf,20,False,usd,Dollar large,657,0.211779778233091,1.4365781914804805,0.8828008382409407,-1.7948679714510238,0.3919715921486049,4.670330040249942e-06,2.0066477496841153,1.4806312527791952,1.3552650235617878,0.1753331344134611,0.18881719563462418,0.22583986801190425
core,post_etf,20,False,real_rate,Taux réel US 10 ans,657,0.1365159007247211,0.07901607822351106,0.08404242678927454,-0.037561853385559514,0.03499422645716721,0.2831038507652902,0.1740777541102806,0.08337182799279104,2.087968541667728,0.03680067249583543,0.18881719563462418,0.22583986801190425
risk_extension,full,20,False,equity,Actions américaines,2212,1.7501450634277138,0.2333816359639179,6.427253878944518e-14,-0.1504370161039492,0.051715433735870064,0.0036265819640809716,1.9005820795316624,0.23205049031683417,8.190381657615417,2.603991018031858e-16,0.16043370494405818,0.3190325623761734
risk_extension,full,20,False,usd,Dollar large,2212,0.9125304597797446,1.0678239151471347,0.39278915005736126,-1.1889539479939053,0.21182150957713217,1.9884960499865187e-08,2.1014844077736505,1.06987356860036,1.964236213932151,0.049502704960510575,0.16043370494405818,0.3190325623761734
risk_extension,full,20,False,real_rate,Taux réel US 10 ans,2212,-0.044920915611241174,0.055096269201371506,0.4148909769448911,-0.06966631148149867,0.012819600212801131,5.4993722042534064e-08,0.024745395870257505,0.055476550136347134,0.44605145434313537,0.6555600784514071,0.16043370494405818,0.3190325623761734
risk_extension,full,20,False,risk_aversion_orth,Aversion au risque orthogonalisée,2212,-0.030889786001355425,0.08640004283761997,0.7207021866118302,0.01721815164874323,0.012474192547889656,0.1674937108598653,-0.04810793765009866,0.08548065258663722,-0.5627932894094346,0.5735756503760021,0.16043370494405818,0.3190325623761734
