reference_month,release_date,trading_date,cpi_yoy,inflation_acceleration,btc_return_release_day,gold_return_release_day,cpi_yoy_quintile,inflation_acceleration_quintile
2019-06-01,2019-07-11,2019-07-11,0.016484846560762545,-0.001417438126901427,-0.04295590074560529,-0.008479433149487292,1.0,2.0
2019-07-01,2019-08-13,2019-08-13,0.018114648063935146,0.001629801503172601,-0.04556335802009137,-0.005977346952418472,1.0,4.0
2019-08-01,2019-09-12,2019-09-12,0.017497798894291483,-0.0006168491696436629,0.0222888319945298,0.002054249269613173,1.0,2.0
2019-09-01,2019-10-10,2019-10-10,0.017113045131695204,-0.00038475376259627936,-0.002893543841288704,-0.008767683192965947,1.0,3.0
2019-10-01,2019-11-13,2019-11-13,0.017640429444213845,0.0005273843125186417,-0.003379942191978458,0.003994072881030597,1.0,3.0
2019-11-01,2019-12-11,2019-12-11,0.020512779818916194,0.0028723503747023482,-0.0049780237062027055,0.006861935627691551,2.0,4.0
2019-12-01,2020-01-14,2020-01-14,0.022851297401217163,0.0023385175823009696,0.06323537674392377,-0.00089194118264313,2.0,4.0
2020-01-01,2020-02-13,2020-02-13,0.024865719552504606,0.0020144221512874427,-0.014577626582807923,0.005677303718111482,3.0,4.0
2020-02-01,2020-03-11,2020-03-11,0.023348735639459495,-0.0015169839130451113,-0.019069139749666064,-0.0035667044227176703,2.0,2.0
2020-03-01,2020-04-10,2020-04-13,0.015393269919198094,-0.007955465720261401,-0.06986953502681637,0.0169951055139288,1.0,1.0
2020-04-01,2020-05-12,2020-05-12,0.003290966863368272,-0.012102303055829822,0.005353131596484317,0.0038815245238019713,1.0,1.0
2020-05-01,2020-06-10,2020-06-10,0.0011792637021070806,-0.0021117031612611914,0.012359655113792556,0.01422314285485271,1.0,2.0
2020-06-01,2020-07-14,2020-07-14,0.006457330475554857,0.005278066773447776,0.0037106636212023147,0.004652728164010966,1.0,5.0
2020-07-01,2020-08-12,2020-08-12,0.009860818253037085,0.003403487777482228,0.01585063349638105,-0.004679132411383513,1.0,5.0
2020-08-01,2020-09-11,2020-09-11,0.013096453823307153,0.003235635570270068,0.005158002218120572,-5.486155779266255e-05,1.0,5.0
2020-09-01,2020-10-13,2020-10-13,0.013713248610564666,0.000616794787257513,-0.013874359460702479,-0.01585383405158325,1.0,3.0
2020-10-01,2020-11-12,2020-11-12,0.011820661677274913,-0.0018925869332897527,0.027167672003786336,0.0060423875087805,1.0,2.0
2020-11-01,2020-12-10,2020-12-10,0.011745357842679605,-7.530383459530832e-05,0.001350158758832265,-0.0019148863181888132,1.0,3.0
2020-12-01,2021-01-13,2021-01-13,0.013620054947193205,0.0018746971045136007,0.054874621073629726,-0.004316677807614688,1.0,4.0
2021-01-01,2021-02-10,2021-02-10,0.013997697415600863,0.00037764246840765736,-0.055199015689051834,0.0036544306292798368,1.0,3.0
2021-02-01,2021-03-10,2021-03-10,0.016762152173745104,0.0027644547581442414,0.0350849343463846,0.0050853276984303974,1.0,4.0
2021-03-01,2021-04-13,2021-04-13,0.02619762508959189,0.009435472915846788,0.047236995848338736,0.007061488473290467,3.0,5.0
2021-04-01,2021-05-12,2021-05-12,0.041596948387021104,0.015399323297429213,-0.03912267689020865,-0.009983483413452454,4.0,5.0
2021-05-01,2021-06-10,2021-06-10,0.04992706537594471,0.008330116988923608,0.011370435059109951,0.004285131517665519,5.0,5.0
2021-06-01,2021-07-13,2021-07-13,0.053914514133213354,0.003987448757268641,-0.015757733948529307,0.0013009357869862015,5.0,5.0
2021-07-01,2021-08-11,2021-08-11,0.05365475239385398,-0.0002597617393593765,0.020715147177542192,0.013690828071884376,5.0,3.0
2021-08-01,2021-09-14,2021-09-14,0.05251271554874992,-0.0011420368451040552,0.03800710810382668,0.006417907636002695,5.0,2.0
2021-09-01,2021-10-13,2021-10-13,0.053903488550791634,0.001390773002041712,0.03428700213729741,0.01763773443447203,5.0,4.0
2021-10-01,2021-11-10,2021-11-10,0.062218689033288976,0.008315200482497342,-0.022656549607985355,0.010800248284572156,5.0,5.0
2021-11-01,2021-12-10,2021-12-10,0.06809002839806477,0.005871339364775796,0.015545970702726564,0.004211020685246147,5.0,5.0
2021-12-01,2022-01-12,2022-01-12,0.07036402865545144,0.0022740002573866658,0.023588671089550317,0.002639137142411485,5.0,4.0
2022-01-01,2022-02-10,2022-02-10,0.07479872468289117,0.004434696027439733,-0.014916398978767731,-0.0038037857675305986,5.0,5.0
2022-02-01,2022-03-10,2022-03-10,0.07871063897739283,0.003911914294501662,-0.05475713633773083,0.0031163668784781606,5.0,5.0
2022-03-01,2022-04-12,2022-04-12,0.08542455554842432,0.006713916571031486,-0.017209490764953372,0.007647435301758598,5.0,5.0
2022-04-01,2022-05-11,2022-05-11,0.08258629340882373,-0.002838262139600589,-0.06452711573394687,0.008133958004822084,5.0,1.0
2022-05-01,2022-06-10,2022-06-10,0.08581511543676523,0.0032288220279415025,-0.035160913471834476,0.013323135228160865,5.0,5.0
2022-06-01,2022-07-13,2022-07-13,0.09059757964784154,0.004782464211076309,0.012978631581750832,0.004776265963685411,5.0,5.0
