horizon,factor,factor_label,quantile,n,factor_min,factor_median,factor_max,btc_mean,btc_median,btc_vol,btc_p05,btc_es05,btc_positive_share,gold_mean,gold_median,gold_vol,gold_p05,gold_es05,gold_positive_share,mean_spread_btc_minus_gold
1,real_rate,Taux réel US 10 ans,1,533,-0.44999999999999996,-0.04999999999999993,-0.030000000000000027,0.0022206444059276946,0.0021662596035891823,0.04132717543370864,-0.06027592771324528,-0.09485712052803742,0.5422138836772983,0.00498809212104644,0.004632228320962994,0.01054744682403923,-0.010090084976842384,-0.019527972624370185,0.7279549718574109,-0.002767447715118745
1,real_rate,Taux réel US 10 ans,2,456,-0.030000000000000006,-0.019999999999999997,-0.010000000000000009,0.004064994218431861,0.0026455276227403957,0.040929091469838266,-0.05455153584143968,-0.09197080686133087,0.5263157894736842,0.002372336804262273,0.0025411547929938827,0.008440235946358746,-0.010376445070430007,-0.016259867031245132,0.6469298245614035,0.0016926574141695877
1,real_rate,Taux réel US 10 ans,3,458,-0.010000000000000002,0.0,0.010000000000000009,0.0007526654264569052,-0.0008445378035215612,0.039350705180255914,-0.06051562567777591,-0.09147482720511235,0.4868995633187773,7.050248545761655e-05,0.0005008176035059542,0.010243013333789438,-0.014287716406527462,-0.025803008114524618,0.5218340611353712,0.0006821629409992886
1,real_rate,Taux réel US 10 ans,4,374,0.010000000000000231,0.020000000000000018,0.030000000000000027,0.000442671522061324,-0.000983017476051451,0.041989320478218704,-0.06310606535401195,-0.09941202944828953,0.48663101604278075,-0.0014209698641867306,-0.0012589769498712045,0.009707066939317516,-0.017256315189545155,-0.024549632500852677,0.43315508021390375,0.0018636413862480547
1,real_rate,Taux réel US 10 ans,5,441,0.03000000000000025,0.06,0.39,-0.0016979587135331911,-0.0014588348545263585,0.041145393521025794,-0.06404174149008846,-0.11031743616426443,0.47392290249433106,-0.004524061747896401,-0.0038037857675305986,0.010995856654161529,-0.021850417580745685,-0.03045306076072295,0.31746031746031744,0.00282610303436321
1,risk_aversion,Aversion au risque,1,453,-0.44244869240364704,-0.08181355991601302,-0.05411089797531199,0.011598637728700189,0.009963166143608149,0.03813053778011923,-0.04473652170244442,-0.0775925224256541,0.6401766004415012,0.001361431997707784,0.0007534549847427741,0.010616641051819106,-0.015696932358467742,-0.023036671089873843,0.5496688741721855,0.010237205730992405
1,risk_aversion,Aversion au risque,2,452,-0.05393757843610203,-0.035972451575515985,-0.021277398447284934,0.004938438096573625,0.004974884503936572,0.03578547525027186,-0.049379560237489704,-0.08054363330218474,0.577433628318584,0.0007937546391624299,0.0009907105703379493,0.010050853934683204,-0.01571287344986705,-0.023898582494681256,0.5530973451327433,0.0041446834574111946
1,risk_aversion,Aversion au risque,3,452,-0.0212511086017364,-0.007511028346794513,0.006669161436280824,0.0025726578030137635,-0.00014186593112786028,0.03729258803164625,-0.050024813458886805,-0.08470718835865645,0.49557522123893805,0.001169363900651008,0.001202159993264118,0.008838881838926218,-0.011263001175076592,-0.018357912468801422,0.584070796460177,0.0014032939023627554
1,risk_aversion,Aversion au risque,4,452,0.0066755922137842205,0.024473528265159583,0.04855948607968186,0.0005624947987238839,-0.0018973341759060958,0.03971513984300663,-0.06050163761114824,-0.08799469469687507,0.4778761061946903,-8.433501231177429e-05,0.0006517142439901313,0.010739099092575304,-0.016053964285311962,-0.027221800395115767,0.5376106194690266,0.0006468298110356581
1,risk_aversion,Aversion au risque,5,453,0.04884197898329923,0.08707788182788123,0.7682450067910249,-0.013476213979853048,-0.01211538182202787,0.048474698070140834,-0.09044447979900667,-0.13907006803969107,0.3355408388520971,-0.00048513021593728684,-0.00035125602256869115,0.01225623044101461,-0.019806665321225304,-0.02929194865123421,0.48123620309050774,-0.012991083763915761
1,credit_baa,Spread de crédit Baa,1,565,-0.19999999999999973,-0.029999999999999805,-0.020000000000000018,0.005224633868729174,0.0020891009345280764,0.04164866715775833,-0.05177126889035896,-0.09653962433546252,0.536283185840708,-0.0013581103302277274,-0.0009844542413608437,0.010839829722241116,-0.019043581268531184,-0.02744393931727188,0.45663716814159294,0.006582744198956901
1,credit_baa,Spread de crédit Baa,2,411,-0.019999999999999796,-0.010000000000000009,-0.009999999999999787,0.003159878987941586,0.000496366873202092,0.03785850270139897,-0.04753420888953741,-0.0794261440632401,0.5036496350364964,-0.0009749586377325235,-0.00021577975709607955,0.01082526368758735,-0.016492420527666418,-0.027913532648386374,0.48661800486618007,0.0041348376256741095
1,credit_baa,Spread de crédit Baa,3,433,0.0,0.0,0.0,0.0012657653346727438,0.0004145284093954871,0.037396318165760285,-0.059208224941587416,-0.08822034372191177,0.5127020785219399,0.00038237887767825007,0.001189581722410793,0.009181421079828203,-0.016473205916210352,-0.023445118887019622,0.558891454965358,0.0008833864569944938
1,credit_baa,Spread de crédit Baa,4,555,0.009999999999999787,0.010000000000000009,0.020000000000000018,-0.000823094410325888,-0.0011997399167427147,0.03826623920158731,-0.06439780813751703,-0.08574175662032608,0.4828828828828829,0.0019161658429090352,0.0018068578078276332,0.009633187929617752,-0.013048886763590416,-0.01884920008685295,0.5801801801801801,-0.002739260253234923
1,credit_baa,Spread de crédit Baa,5,298,0.029999999999999805,0.040000000000000036,0.38000000000000034,-0.0051784108664226685,-0.0013578353552281541,0.051341274164595996,-0.09639203256697416,-0.14118554320899293,0.4798657718120805,0.003977090944329945,0.0039538964462044746,0.012048082921405292,-0.015590957868522801,-0.026544143706552722,0.6778523489932886,-0.009155501810752614
1,liquidity_stress_ex_post,Tensions financières ex post (NFCI révisé),1,428,-2.2113205063349235,-1.5496330652933104,-1.2346162576893887,0.0014447717027065538,0.0011439587731167933,0.03498514988322899,-0.05657445496815674,-0.07987570126919886,0.5233644859813084,0.0012251948191585962,0.0015496511555470605,0.011682311926725157,-0.014669649833614429,-0.026088615883792764,0.5864485981308412,0.00021957688354795764
1,liquidity_stress_ex_post,Tensions financières ex post (NFCI révisé),2,428,-1.2342450801811984,-0.9446678725733252,-0.6698138351099969,0.005171648084752275,0.003128228946129852,0.03766143373815207,-0.04691684187253049,-0.07450480421474147,0.544392523364486,0.000800147355123116,0.0007153723836799131,0.010218455499827644,-0.015700325617578725,-0.024764004751594904,0.5280373831775701,0.004371500729629159
1,liquidity_stress_ex_post,Tensions financières ex post (NFCI révisé),3,427,-0.6681469967295961,-0.44908516562579553,-0.015514203699071777,0.003664783330022443,0.0012527235782329171,0.03914914554126564,-0.05140816690968925,-0.08460617721995632,0.5152224824355972,0.0005108068372162043,0.0009123470738270356,0.010003646258552438,-0.01601819294970719,-0.02440569057657317,0.5526932084309133,0.0031539764928062387
1,liquidity_stress_ex_post,Tensions financières ex post (NFCI révisé),4,428,-0.01282429380376918,0.3917680814545051,1.0083159567937574,-0.0011833939630844631,-0.001348836171215062,0.03237278454999135,-0.04958270022684105,-0.0738350333388505,0.4696261682242991,8.421140351892926e-05,0.00033022925788150914,0.011302388367836189,-0.019286665291799964,-0.02692075195708199,0.5233644859813084,-0.0012676053666033924
1,liquidity_stress_ex_post,Tensions financières ex post (NFCI révisé),5,428,1.0139614310917664,2.1893813917556533,7.216626786588091,-0.004613286736885603,-0.0015753310749690996,0.047547715665321885,-0.0881466065433127,-0.12420105888361216,0.4649532710280374,0.00023831864461493058,0.000384204647743136,0.010532384018244299,-0.01618322529339551,-0.023168189616769554,0.5116822429906542,-0.004851605381500534
5,equity,Actions américaines,1,450,-0.19804402545050426,-0.024775251627621397,-0.012314696348861176,-0.03851112474995857,-0.033272737497079596,0.10915125378378736,-0.22814954957398628,-0.33291274732839105,0.31555555555555553,-0.0030998037082551437,-0.00111702932118396,0.027683170690191144,-0.04882390298750793,-0.07819910986007246,0.4888888888888889,-0.03541132104170343
5,equity,Actions américaines,2,450,-0.012304916535018862,-0.004210583282245217,0.0005120929602586699,0.0010455491395238267,-0.0020381815768582,0.09283966057230633,-0.15252303912261397,-0.20293064811838551,0.4777777777777778,0.00213605545749023,0.0011257587952009374,0.023261453371529094,-0.035463924556627946,-0.047416089444254676,0.5222222222222223,-0.0010905063179664034
5,equity,Actions américaines,3,450,0.000557500360740093,0.005012704233807952,0.008989517849355977,0.018936982203188152,0.011893992501136985,0.08281573205227566,-0.10429548634305333,-0.14187149504818725,0.5755555555555556,0.002937332249812289,0.0031657823371027405,0.02034003531600328,-0.028936100462663907,-0.041397183698580815,0.56,0.015999649953375862
5,equity,Actions américaines,4,450,0.009018141923194278,0.013003631348592393,0.01795853003801895,0.017616870972747164,0.011018889788611652,0.0854671836157241,-0.11438009802178807,-0.18163976163648723,0.5911111111111111,0.005591654025850294,0.005179793168556657,0.01910455407864206,-0.025506088719081218,-0.035652559412879946,0.6222222222222222,0.01202521694689687
5,equity,Actions américaines,5,450,0.01797281922685734,0.026915128778130182,0.16039479257318945,0.03291010603113864,0.02882229568720085,0.08010726407629595,-0.07669788769620789,-0.1464542642629178,0.6911111111111111,0.006025999575767869,0.004793713029842106,0.023289414850846114,-0.030299392412834924,-0.04441045223658733,0.6133333333333333,0.026884106455370774
5,usd,Dollar large,1,450,-0.027444919624708852,-0.008347305054325016,-0.005531158785193391,0.026660145219415704,0.02564449897488874,0.08536070377031565,-0.08846314921400866,-0.1742807264103134,0.6577777777777778,0.0164359991124652,0.014773716211325283,0.0218728203208379,-0.015230132002474006,-0.02435960732392155,0.8066666666666666,0.010224146106950504
5,usd,Dollar large,2,450,-0.005528480532521307,-0.0034517476123121504,-0.0016677625928513962,0.016063424965736952,0.011064255432057912,0.0895145209985005,-0.13101880224629578,-0.1892323562611243,0.5866666666666667,0.0073877487229360005,0.005934958018772196,0.01847290622771132,-0.01594598751752314,-0.03613487994408781,0.6888888888888889,0.008675676242800951
5,usd,Dollar large,3,450,-0.0016500765862286215,1.488341759614542e-05,0.0018827464606614441,0.004757068241321656,-0.0003365009318025969,0.08566737076879033,-0.12762937635092886,-0.18178824270228303,0.49777777777777776,0.0038102205831444043,0.0048301881590702145,0.019626122036301392,-0.026032377734481478,-0.044322237725773754,0.6,0.0009468476581772516
5,usd,Dollar large,4,450,0.001896924147879453,0.00357533771593177,0.005603565519766818,0.0032938218909853724,0.0005524864211929881,0.09367059581658145,-0.14127093429828896,-0.1988436216907602,0.5022222222222222,-0.00234842106702839,-0.0025354749230581675,0.021998342663371872,-0.03573337699878811,-0.054645156942862136,0.45111111111111113,0.0056422429580137625
5,usd,Dollar large,5,450,0.005614944084610052,0.008463844970967305,0.04878432505495578,-0.018776076720820465,-0.01371692707754324,0.10764149301320228,-0.1843439400313379,-0.30820659111218485,0.4066666666666667,-0.011694309750851678,-0.012053621786188629,0.02340443726652428,-0.04769438859092552,-0.06697855425513646,0.26,-0.007081766969968787
5,real_rate,Taux réel US 10 ans,1,453,-0.86,-0.11000000000000001,-0.07,0.012564503887719678,0.012232075096543227,0.08915310406996935,-0.12669440255115916,-0.17493164067050107,0.5518763796909493,0.01543960338213635,0.015324849659542394,0.02129509141093592,-0.01861034740896059,-0.031114054104876703,0.8101545253863135,-0.0028750994944166716
