model,sample,horizon,winsorized,factor,factor_label,n,btc_beta,btc_se,btc_p,gold_beta,gold_se,gold_p,delta_beta,delta_se,delta_t,delta_p,btc_r2,gold_r2,excluded_year,full_core_n,rows_removed_calendar,rows_removed_regression
core_leave_one_year_out,exclude_2022,1,False,equity,Actions américaines,2011,0.7295135923058317,0.09682478350932534,4.907039792449254e-14,0.026412299500549664,0.032483022292843305,0.41615447742973566,0.7031012928052821,0.1028163703168481,6.8384177601148775,8.007260883797382e-12,0.05166059669280043,0.1869240072968078,2022,2262,251,251
core_leave_one_year_out,exclude_2022,1,False,usd,Dollar large,2011,-0.8197149667678442,0.34259443992922034,0.01672634022947641,-1.0599182389850519,0.1300920489341405,3.71683804268522e-16,0.24020327221720744,0.33646200852388397,0.7139090480705981,0.47528342204098284,0.05166059669280043,0.1869240072968078,2022,2262,251,251
core_leave_one_year_out,exclude_2022,1,False,real_rate,Taux réel US 10 ans,2011,-0.015197095271579253,0.01887851891533555,0.4208231172351439,-0.06081355944049445,0.007274795689640003,6.299160710057764e-17,0.045616464168915204,0.018488520531985627,2.4672857998560525,0.013614164707150716,0.05166059669280043,0.1869240072968078,2022,2262,251,251
core_leave_one_year_out,exclude_2023,1,False,equity,Actions américaines,2012,0.8634213408909183,0.09595703431445791,2.298679932556285e-19,0.017830157605014052,0.02934661799402829,0.5434719589748203,0.8455911832859043,0.10353330645396437,8.167334863026834,3.152768733567107e-16,0.08052112602567763,0.19821365238671007,2023,2262,250,250
core_leave_one_year_out,exclude_2023,1,False,usd,Dollar large,2012,-0.9767319001462906,0.3419500315640604,0.004285308857378877,-1.0908832469247762,0.12387151669014392,1.2903293591145166e-18,0.11415134677848492,0.3421166762098858,0.33366203613077894,0.7386346001137181,0.08052112602567763,0.19821365238671007,2023,2262,250,250
core_leave_one_year_out,exclude_2023,1,False,real_rate,Taux réel US 10 ans,2012,-0.018030738289117318,0.020264027803311588,0.37357841885929544,-0.05870459638698216,0.006612202032843924,6.793765257245473e-19,0.04067385809786484,0.020864305079889886,1.94944705525172,0.05124205974304599,0.08052112602567763,0.19821365238671007,2023,2262,250,250
core_leave_one_year_out,exclude_2024,1,False,equity,Actions américaines,2010,0.8086323656524579,0.09087311645981168,5.661805647166791e-19,-0.0008297275573196337,0.030474478083877377,0.9782787084761392,0.8094620932097772,0.09915846225209694,8.163318337388388,3.259440049698824e-16,0.07444606746465854,0.20810318544808415,2024,2262,252,252
core_leave_one_year_out,exclude_2024,1,False,usd,Dollar large,2010,-0.951533691406466,0.3227474685800079,0.0031959943404832876,-1.0554290602886887,0.11940707243547924,9.665191524250825e-19,0.1038953688822222,0.32010969160877517,0.3245617724351777,0.745512763305529,0.07444606746465854,0.20810318544808415,2024,2262,252,252
core_leave_one_year_out,exclude_2024,1,False,real_rate,Taux réel US 10 ans,2010,-0.02083519923009067,0.018829986297007315,0.2685143132325183,-0.05932645729722198,0.006029498757368542,7.618790199158863e-23,0.03849125806713131,0.019055067407120787,2.0200011495497154,0.04338326829591235,0.07444606746465854,0.20810318544808415,2024,2262,252,252
core_leave_one_year_out,exclude_2025,1,False,equity,Actions américaines,2012,0.8472127718663508,0.10171822390799684,8.151666182104445e-17,0.01605695035982218,0.02753043010039296,0.5597292459268355,0.8311558215065286,0.10807005110031209,7.690898755428906,1.4610501884828944e-14,0.07226054481094613,0.22542309375910596,2025,2262,250,250
core_leave_one_year_out,exclude_2025,1,False,usd,Dollar large,2012,-0.8483073569374115,0.34784855150941923,0.01473913323860744,-0.9553286318686611,0.11488421446481095,9.13062663283429e-17,0.10702127493124954,0.34863407430419047,0.30697307813312374,0.7588638640681573,0.07226054481094613,0.22542309375910596,2025,2262,250,250
core_leave_one_year_out,exclude_2025,1,False,real_rate,Taux réel US 10 ans,2012,-0.0235034346962714,0.01898843764664455,0.21579908488643518,-0.06314215871131756,0.005754140731358116,5.1338577820585965e-28,0.039638724015046166,0.019206829964144245,2.063782731926333,0.03903832103962342,0.07226054481094613,0.22542309375910596,2025,2262,250,250
core_leave_one_year_out,exclude_2026,1,False,equity,Actions américaines,2100,0.8341879222438096,0.09290993567186649,2.7458879735539185e-19,-0.0038260421738036234,0.028770478566792407,0.8942052411504464,0.8380139644176133,0.10087554793354049,8.307404337171178,9.781818447324681e-17,0.0731775100797114,0.2194103175257549,2026,2262,162,162
core_leave_one_year_out,exclude_2026,1,False,usd,Dollar large,2100,-0.8596209337747207,0.3217336161934764,0.007543647596701734,-0.8950824315591468,0.1027582909361656,3.0237273103181615e-18,0.0354614977844267,0.32003065568119143,0.11080656541776042,0.9117697389658715,0.0731775100797114,0.2194103175257549,2026,2262,162,162
core_leave_one_year_out,exclude_2026,1,False,real_rate,Taux réel US 10 ans,2100,-0.017340954665710166,0.01829303686891872,0.3431529506509595,-0.0565149726334632,0.005412746643075248,1.6095257712033088e-25,0.03917401796775302,0.01840293144627153,2.1286835785985474,0.03328044836452657,0.0731775100797114,0.2194103175257549,2026,2262,162,162
