horizon,condition,classification,episode_id,episode_start,episode_end,condition_days,anchor_date,anchor_position,window_start_date,window_end_date,condition_value_at_anchor,btc_return,gold_return,spread_btc_minus_gold
1,vix_change_top_10pct,market_observable,37,2019-02-25,2019-02-25,1,2019-02-25,376,2019-02-25,2019-02-25,0.09456971327660124,-0.02995822371910073,-0.0010363715360961478,-0.02892185218300458
1,vix_change_top_10pct,market_observable,38,2019-03-22,2019-03-22,1,2019-03-22,395,2019-03-22,2019-03-22,0.18987427877288443,0.004663497594219024,0.002342023390243142,0.0023214742039758818
1,vix_change_top_10pct,market_observable,39,2019-05-01,2019-05-01,1,2019-05-01,422,2019-05-01,2019-05-01,0.12048939725412611,0.013782632415914264,-0.006622502907560168,0.020405135323474433
1,vix_change_top_10pct,market_observable,40,2019-05-06,2019-05-07,2,2019-05-07,426,2019-05-07,2019-05-07,0.22417928418774213,0.02272631061351582,0.003305527606358716,0.019420783007157105
1,vix_change_top_10pct,market_observable,41,2019-05-13,2019-05-13,1,2019-05-13,430,2019-05-13,2019-05-13,0.24777533850387545,0.20203838433890198,0.010159840539079035,0.19187854379982294
1,vix_change_top_10pct,market_observable,42,2019-05-23,2019-05-23,1,2019-05-23,438,2019-05-23,2019-05-23,0.13725327139224852,-0.018140565758436367,0.00770477545364745,-0.025845341212083817
1,vix_change_top_10pct,market_observable,43,2019-05-28,2019-05-28,1,2019-05-28,440,2019-05-28,2019-05-28,0.09903138060617911,0.07970922511053757,-0.00388222691557516,0.08359145202611273
1,vix_change_top_10pct,market_observable,44,2019-07-31,2019-08-01,2,2019-07-31,485,2019-07-31,2019-07-31,0.14529833174610474,0.039181164446890904,-0.013199706898716634,0.05238087134560754
1,vix_change_top_10pct,market_observable,45,2019-08-05,2019-08-05,1,2019-08-05,488,2019-08-05,2019-08-05,0.3338729337199866,0.11795324117996309,0.013885007839557595,0.10406823334040549
1,vix_change_top_10pct,market_observable,46,2019-08-12,2019-08-12,1,2019-08-12,493,2019-08-12,2019-08-12,0.1600952936952158,-0.033598899170739216,0.009651773675578568,-0.043250672846317784
1,vix_change_top_10pct,market_observable,47,2019-08-14,2019-08-14,1,2019-08-14,495,2019-08-14,2019-08-14,0.23223452301546166,-0.0755247288012253,0.006818296719088401,-0.0823430255203137
1,vix_change_top_10pct,market_observable,48,2019-08-23,2019-08-23,1,2019-08-23,502,2019-08-23,2019-08-23,0.17500065963312483,0.023057463573367798,0.01940043582556772,0.003657027747800079
1,vix_change_top_10pct,market_observable,49,2019-09-24,2019-09-24,1,2019-09-24,523,2019-09-24,2019-09-24,0.13411807495287853,-0.15930661895582077,0.005272991620432599,-0.16457961057625337
1,vix_change_top_10pct,market_observable,50,2019-10-01,2019-10-02,2,2019-10-01,528,2019-10-01,2019-10-01,0.1335313926245223,0.004014019439853911,0.005457893373497669,-0.0014438739336437578
1,vix_change_top_10pct,market_observable,51,2019-10-08,2019-10-08,1,2019-10-08,533,2019-10-08,2019-10-08,0.1270716032746293,-0.005423277643247459,0.008704599917037648,-0.014127877560285107
1,vix_change_top_10pct,market_observable,52,2019-12-02,2019-12-02,1,2019-12-02,571,2019-12-02,2019-12-02,0.1667492716635799,-0.06041635669079071,-0.0005079436043828878,-0.05990841308640782
1,vix_change_top_10pct,market_observable,53,2019-12-09,2019-12-09,1,2019-12-09,576,2019-12-09,2019-12-09,0.1522609154853356,-0.016921098075442842,-0.0002906488870486612,-0.01663044918839418
1,vix_change_top_10pct,market_observable,54,2019-12-30,2019-12-30,1,2019-12-30,590,2019-12-30,2019-12-30,0.09848660933279474,0.005761731589092989,0.0021055808220618033,0.0036561507670311855
1,vix_change_top_10pct,market_observable,55,2020-01-03,2020-01-03,1,2020-01-03,593,2020-01-03,2020-01-03,0.11715912191449895,0.05172489825802273,0.01318126588252877,0.038543632375493964
1,vix_change_top_10pct,market_observable,56,2020-01-24,2020-01-27,2,2020-01-27,608,2020-01-27,2020-01-27,0.22479054592203163,0.05722479055690677,0.0068021258430706055,0.05042266471383616
1,vix_change_top_10pct,market_observable,57,2020-01-31,2020-01-31,1,2020-01-31,612,2020-01-31,2020-01-31,0.19578761471943995,-0.026908592225039385,0.005775708477189667,-0.03268430070222905
1,vix_change_top_10pct,market_observable,58,2020-02-21,2020-02-25,3,2020-02-24,627,2020-02-24,2020-02-24,0.3821669170832589,-0.010433344600048855,0.00894500265671816,-0.019378347256767015
1,vix_change_top_10pct,market_observable,59,2020-02-27,2020-02-27,1,2020-02-27,630,2020-02-27,2020-02-27,0.35129037151685205,0.00898140737230868,0.00019481624361361582,0.008786591128695065
1,vix_change_top_10pct,market_observable,60,2020-03-03,2020-03-03,1,2020-03-03,633,2020-03-03,2020-03-03,0.09688665263768392,-0.020181500329005786,0.03095039019408663,-0.051131890523092416
1,vix_change_top_10pct,market_observable,61,2020-03-05,2020-03-05,1,2020-03-05,635,2020-03-05,2020-03-05,0.213910687308978,0.0458308371360463,0.021370951204574773,0.024459885931471526
1,vix_change_top_10pct,market_observable,62,2020-03-09,2020-03-09,1,2020-03-09,637,2020-03-09,2020-03-09,0.2612264617718396,-0.14857428980187315,0.0016488747161256256,-0.15022316451799878
1,vix_change_top_10pct,market_observable,63,2020-03-11,2020-03-12,2,2020-03-12,640,2020-03-12,2020-03-12,0.33660474838182575,-0.2599485026425459,-0.0407056042424383,-0.21924289840010758
1,vix_change_top_10pct,market_observable,64,2020-03-16,2020-03-16,1,2020-03-16,642,2020-03-16,2020-03-16,0.35759100356394846,-0.08800161323411793,-0.011512126298224956,-0.07648948693589297
1,vix_change_top_10pct,market_observable,65,2020-04-20,2020-04-20,1,2020-04-20,666,2020-04-20,2020-04-20,0.13879275670025182,-0.04372529167151562,0.007100853720992006,-0.05082614539250763
1,vix_change_top_10pct,market_observable,66,2020-04-30,2020-04-30,1,2020-04-30,674,2020-04-30,2020-04-30,0.08938341472181177,0.013076280899525727,-0.018282683683788825,0.03135896458331455
1,vix_change_top_10pct,market_observable,67,2020-05-12,2020-05-12,1,2020-05-12,682,2020-05-12,2020-05-12,0.18099072361707158,0.005353131596484317,0.0038815245238019713,0.001471607072682346
1,vix_change_top_10pct,market_observable,68,2020-06-11,2020-06-11,1,2020-06-11,703,2020-06-11,2020-06-11,0.3917087282937617,-0.05972997819492676,-0.007240232329264629,-0.05248974586566213
1,vix_change_top_10pct,market_observable,69,2020-07-13,2020-07-13,1,2020-07-13,724,2020-07-13,2020-07-13,0.16513551059046971,-0.00011044854029584883,0.0012403879870825918,-0.0013508365273784406
1,vix_change_top_10pct,market_observable,70,2020-08-31,2020-08-31,1,2020-08-31,759,2020-08-31,2020-08-31,0.13998915485767505,0.01955020713124256,0.002383417194323556,0.017166789936919002
1,vix_change_top_10pct,market_observable,71,2020-09-03,2020-09-03,1,2020-09-03,762,2020-09-03,2020-09-03,0.23474330719743675,-0.06404174149008846,-0.008137254873337163,-0.05590448661675129
1,vix_change_top_10pct,market_observable,72,2020-10-26,2020-10-26,1,2020-10-26,798,2020-10-26,2020-10-26,0.1640060264875216,0.006594038360979937,-0.0005039129828938727,0.0070979513438738095
1,vix_change_top_10pct,market_observable,73,2020-10-28,2020-10-28,1,2020-10-28,800,2020-10-28,2020-10-28,0.1887972954887287,-0.036658788890001404,-0.01627516884164315,-0.020383620048358253
1,vix_change_top_10pct,market_observable,74,2020-12-21,2020-12-21,1,2020-12-21,837,2020-12-21,2020-12-21,0.15395197143117478,0.003270374071664861,-0.0031789169989817623,0.006449291070646623
1,vix_change_top_10pct,market_observable,75,2021-01-04,2021-01-04,1,2021-01-04,845,2021-01-04,2021-01-04,0.17015999175467922,0.07020278061825103,0.022014258912347984,0.04818852170590304
1,vix_change_top_10pct,market_observable,76,2021-01-11,2021-01-11,1,2021-01-11,850,2021-01-11,2021-01-11,0.1105418743998241,-0.15629495096384716,-0.001963368081677963,-0.1543315828821692
1,vix_change_top_10pct,market_observable,77,2021-01-27,2021-01-27,1,2021-01-27,861,2021-01-27,2021-01-27,0.48021413906479493,-0.014700334856421193,-0.0063557782954406505,-0.008344556560980543
1,vix_change_top_10pct,market_observable,78,2021-01-29,2021-01-29,1,2021-01-29,863,2021-01-29,2021-01-29,0.09105812653494061,0.0594833045925931,-0.00040541033768271006,0.05988871493027581
1,vix_change_top_10pct,market_observable,79,2021-02-25,2021-02-25,1,2021-02-25,881,2021-02-25,2021-02-25,0.3029122686045369,0.0010214495088476383,-0.01899580806530743,0.020017257574155067
1,vix_change_top_10pct,market_observable,80,2021-03-03,2021-03-03,1,2021-03-03,885,2021-03-03,2021-03-03,0.10132749769731353,0.061095041763342905,-0.011082728374519846,0.07217777013786275
1,vix_change_top_10pct,market_observable,81,2021-03-18,2021-03-18,1,2021-03-18,896,2021-03-18,2021-03-18,0.11529540022930007,-0.009956531252500511,-0.005826967579591447,-0.0041295636729090646
1,vix_change_top_10pct,market_observable,82,2021-03-29,2021-03-29,1,2021-03-29,903,2021-03-29,2021-03-29,0.0950209255960699,0.07006970191818773,-0.011967328788776932,0.08203703070696466
1,vix_change_top_10pct,market_observable,83,2021-05-10,2021-05-12,3,2021-05-12,934,2021-05-12,2021-05-12,0.2337102373524904,-0.03912267689020865,-0.009983483413452454,-0.029139193476756198
1,vix_change_top_10pct,market_observable,84,2021-06-18,2021-06-18,1,2021-06-18,960,2021-06-18,2021-06-18,0.15374818434989868,-0.06517448967577799,-0.005562705142465596,-0.059611784533312395
1,vix_change_top_10pct,market_observable,85,2021-07-08,2021-07-08,1,2021-07-08,973,2021-07-08,2021-07-08,0.15942773692810208,-0.04810130564711379,-0.0006520293887515294,-0.04744927625836226
1,vix_change_top_10pct,market_observable,86,2021-07-19,2021-07-19,1,2021-07-19,980,2021-07-19,2021-07-19,0.198450938723838,-0.03723925722041166,0.0011798535126086307,-0.03841911073302029
1,vix_change_top_10pct,market_observable,87,2021-07-27,2021-07-27,1,2021-07-27,986,2021-07-27,2021-07-27,0.0964471895914003,-0.04046255892815864,0.0016636888817753714,-0.042126247809934014
1,vix_change_top_10pct,market_observable,88,2021-08-17,2021-08-18,2,2021-08-18,1002,2021-08-18,2021-08-18,0.1859442443284447,-0.012480503081064853,0.0007783092556952198,-0.013258812336760073
1,vix_change_top_10pct,market_observable,89,2021-08-26,2021-08-26,1,2021-08-26,1008,2021-08-26,2021-08-26,0.11519879805876787,-0.03594854286793314,0.0011338353884635666,-0.03708237825639671
1,vix_change_top_10pct,market_observable,90,2021-09-07,2021-09-07,1,2021-09-07,1015,2021-09-07,2021-09-07,0.10022853958499134,-0.07897368489473067,-0.019778020504278793,-0.059195664390451874
